rho,N,E0,error_vs_ref,relative_error
5.0000000000000000e-01,6,3.6772405986688089e-01,4.6095091167375202e-06,1.2535396515612119e-05
5.0000000000000000e-01,7,3.6771987951197843e-01,4.2915421427647260e-07,1.1670696610117765e-06
5.0000000000000000e-01,8,3.6771948570029661e-01,3.5342532456184017e-08,9.6112763199766337e-08
5.0000000000000000e-01,9,3.6771945313281318e-01,2.7750490239064618e-09,7.5466473726275345e-09
5.0000000000000000e-01,10,3.6771945059948269e-01,2.4171853407750632e-10,6.5734497819555604e-10
5.0000000000000000e-01,12,3.6771945036380493e-01,6.0407789881367080e-12,1.6427684155024900e-11
5.0000000000000000e-01,15,3.6771945035799414e-01,2.2998269955110118e-13,6.2542979254250712e-13
5.0000000000000000e-01,20,3.6771945035777220e-01,8.0491169285323849e-15,2.1889287935955473e-14
5.0000000000000000e-01,30,3.6771945035776121e-01,2.9420910152566648e-15,8.0009121421078636e-15
5.0000000000000000e-01,40,3.6771945035776415e-01,0.0000000000000000e+00,0.0000000000000000e+00
5.9999999999999998e-01,2,4.6082054014031065e-01,3.4247122688400744e-02,8.0284240150200220e-02
5.9999999999999998e-01,3,4.3179831394522222e-01,5.2248964933123143e-03,1.2248528106891112e-02
5.9999999999999998e-01,4,4.2732938251285141e-01,7.5596506094149918e-04,1.7721804266594354e-03
5.9999999999999998e-01,5,4.2667460463581364e-01,1.0118718390372816e-04,2.3720930504333542e-04
5.9999999999999998e-01,6,4.2658585111936792e-01,1.2433667458011666e-05,2.9147778434677978e-05
5.9999999999999998e-01,7,4.2657482119704654e-01,1.4037451366299969e-06,3.2907468660731752e-06
5.9999999999999998e-01,8,4.2657356282763603e-01,1.4537572612383087e-07,3.4079884065963846e-07
5.9999999999999998e-01,9,4.2657343133431330e-01,1.3882403393505882e-08,3.2543995536409453e-08
5.9999999999999998e-01,10,4.2657341869461585e-01,1.2427059381536765e-09,2.9132287369823600e-09
