rho,error_N2,error_N3,error_N4,error_N5,error_N6,error_N7,error_N8,error_N9,error_N10,error_N11,error_N12,error_N13,error_N14,error_N15,error_N16,error_N17,error_N18,error_N19
-7.6000000000000001e-01,1.0970066210836360e-01,1.3284018342009030e-01,4.5915475180828169e-02,8.7326618182855809e-03,2.2132053286267661e-02,5.5690668996117076e-02,5.7241066697205523e-02,3.3092575125855728e-02,2.8718038884868902e-02,5.0944974108236840e-03,1.5841355496425069e-02,1.7637155834418827e-02,2.9027265257438706e-02,2.8158386136745928e-02,2.3450769159228280e-02,2.2504553044872089e-02,1.1904061713462033e-02,6.5348615284157585e-03
-7.3999999999999999e-01,1.0716465524920826e-01,1.2835438291974088e-01,4.4966974781260105e-02,6.5891471040062655e-03,2.1929587907549175e-02,5.2164354361215248e-02,5.2878704737374549e-02,3.1363219468266479e-02,2.5245026797543368e-02,4.6425355222234899e-03,1.3657540564363746e-02,1.6296922753173737e-02,2.5773295094612458e-02,2.4942063562449657e-02,2.1060481951504673e-02,1.9211074864961986e-02,1.0664709575804787e-02,5.4584801760391155e-03
-7.1999999999999997e-01,1.0424927615979174e-01,1.2342789304976132e-01,4.3860211865162868e-02,4.8959229445615371e-03,2.1574279643192140e-02,4.8560980682983756e-02,4.8569265165355424e-02,2.9463705247544159e-02,2.2195978477609457e-02,4.1870374626742368e-03,1.1789261288859820e-02,1.4902502283619001e-02,2.2739977078564566e-02,2.1931981514701993e-02,1.8720956809373468e-02,1.6350070955385432e-02,9.4401632352089093e-03,4.5478482334372350e-03
-6.9999999999999996e-01,1.0100811963123069e-01,1.1816640461711947e-01,4.2599672834504720e-02,3.5647835461380950e-03,2.1065219021659809e-02,4.4955972103882913e-02,4.4380422382680140e-02,2.7448215160109979e-02,1.9505673233954024e-02,3.7407949150023434e-03,1.0182830921952157e-02,1.3497807058567513e-02,1.9948555413441094e-02,1.9158643101429118e-02,1.6488755128730048e-02,1.3871834551533180e-02,8.2667968482226240e-03,3.7783000949994650e-03
-6.7999999999999994e-01,9.7499878999945722e-02,1.1266893054502169e-01,4.1193880052985965e-02,2.5262307585659505e-03,2.0411652915161893e-02,4.1408810232079540e-02,4.0360657406856904e-02,2.5369128105745542e-02,1.7123423070719679e-02,3.3134527583227324e-03,8.7960440467698131e-03,1.2119327260998181e-02,1.7407156420860326e-02,1.6636028225276434e-02,1.4402739428463374e-02,1.1731508915502564e-02,7.1699705946710601e-03,3.1291593360316394e-03
-6.5999999999999992e-01,9.3783763549975308e-02,1.0702397744757408e-01,3.9655138795248512e-02,1.7246619719043510e-03,1.9630088054792827e-02,3.7964791834246392e-02,3.6543223405898106e-02,2.3273929573273122e-02,1.5009231244420773e-02,2.9117636882063369e-03,7.5953081347589491e-03,1.0795394006522629e-02,1.5114517992088516e-02,1.4366122276764037e-02,1.2486578992215946e-02,9.8888256561806553e-03,6.1652933756062289e-03,2.5828902943461074e-03
-6.4000000000000001e-01,8.9916323529079523e-02,1.0130801384654847e-01,3.7998987698649844e-02,1.1150072495814678e-03,1.8741503420545702e-02,3.4657197267936257e-02,3.2949491816373078e-02,2.1203474550909207e-02,1.3130930470780511e-02,2.5400095424008562e-03,6.5535097319187052e-03,9.5464662718536264e-03,1.3062808686152394e-02,1.2342481599648347e-02,1.0751693124646411e-02,8.3076642310069282e-03,5.2604175996209257e-03,2.1244921883510903e-03
-6.2000000000000000e-01,8.5949447868794770e-02,9.5585401964013106e-02,3.6243453827462635e-02,6.6035631571537134e-04,1.7768974202639731e-02,3.1509430953832629e-02,2.9591643730997763e-02,1.9191274691918836e-02,1.1462074190090155e-02,2.2004691638529694e-03,5.6484484318821693e-03,8.3859951741053207e-03,1.1239761114978042e-02,1.0552984862959858e-02,9.2001362066852499e-03,6.9556194803670479e-03,4.4569191579653111e-03,1.7410561808736125e-03
-5.9999999999999998e-01,8.1929265997248313e-02,8.9909171025612022e-02,3.4408221526114502e-02,3.3025687191673425e-04,1.6735819602455515e-02,2.8536937286976649e-02,2.6474790437340856e-02,1.7263502952502285e-02,9.9804056136338359e-03,1.8938662599998213e-03,4.8616926667895410e-03,7.3215478931097366e-03,9.6302879339094649e-03,8.9819259054937928e-03,7.8271700033049618e-03,5.8036324251410920e-03,3.7520173944068924e-03,1.4214341807235464e-03
-5.8000000000000007e-01,7.7895705807181026e-02,8.4322205228606006e-02,3.2513806423374370e-02,9.9468504346444941e-05,1.5664271804563035e-02,2.5748829687955499e-02,2.3598635681297775e-02,1.5439461394952725e-02,8.6667649030826022e-03,1.6197653226845410e-03,4.1777427772685671e-03,6.3559845691031902e-03,8.2177023597974075e-03,7.6115837135168340e-03,6.6234203319229801e-03,4.8256859772696226e-03,3.1400250711014488e-03,1.1559845958854509e-03
-5.6000000000000005e-01,7.3882501735055839e-02,7.8858574120913572e-02,3.0580799431239425e-02,5.2972208179347113e-05,1.4574603730525104e-02,2.3149237367570907e-02,2.0958783392479197e-02,1.3732316604180728e-02,7.5043228067242507e-03,1.3769043431079431e-03,3.5834158518606718e-03,5.4885660458698915e-03,6.9846320120804939e-03,6.4233807322086611e-03,5.5766038064749557e-03,3.9985501180773708e-03,2.6135007316817060e-03,9.3637104125698922e-04
-5.4000000000000004e-01,6.9917492630180100e-02,7.3544844776310181e-02,2.8629219725577915e-02,1.4447151713686823e-04,1.3484629511630319e-02,2.0738402561886138e-02,1.8547774277261397e-02,1.2149960786128122e-02,6.4780525029162761e-03,1.1634644391907978e-03,3.0673900619755390e-03,4.7159295490354358e-03,5.9136923688699050e-03,5.3987188257531016e-03,4.6728574782936572e-03,3.3015595172883883e-03,2.1641209831493313e-03,7.5539759373122184e-04
-5.2000000000000002e-01,6.6023090592143174e-02,6.8401290483594723e-02,2.6677994546484562e-02,1.8944720829405792e-04,1.2409489201133439e-02,1.8513568802738745e-02,1.6355914125729509e-02,1.0695900934952762e-02,5.5743712610190621e-03,9.7728211879910543e-04,2.6198636886324289e-03,4.0329081042217441e-03,4.9879708584434357e-03,4.5195643384189910e-03,3.8977254259513483e-03,2.7164104264228439e-03,1.7833111576810445e-03,6.0686962094724795e-04
-5.0000000000000000e-01,6.2216836293564948e-02,6.3442958553647733e-02,2.4744568224589703e-02,1.9978883550841875e-04,1.1361637893889998e-02,1.6469698993292869e-02,1.4371939804863954e-02,9.3701129031254493e-03,4.7809001089445524e-03,8.1601212890952679e-04,2.2322967770964097e-03,3.4331930582958692e-03,4.1913619196989882e-03,3.7688394768212730e-03,3.2368623274408037e-03,2.2269685056922617e-03,1.4626792574353176e-03,4.8547304944313030e-04
